# p1 - c1 sync,p1 - c2 sync,p1 - c3 sync,p2 - c1 sync,p2 - c2 sync,p2 - c3 sync,p3 - c1 sync,p3 - c2 sync,p3 - c3 sync,p4 - c1 sync,p4 - c2 sync,p4 - c3 sync,p5 - c1 sync,p5 - c2 sync,p5 - c3 sync,c1 - p1,c1 - p2,c1 - p3,c1 - p4,c1 - p5,c2 - p1,c2 - p2,c2 - p3,c2 - p4,c2 - p5,c3 - p1,c3 - p2,c3 - p3,c3 - p4,c3 - p5
1775.62404,846.46511,820.79101,1775.40517,1834.46503,1834.46503,1773.13805,1832.23391,1832.23581,1772.75515,871.01817,871.96207,1761.28006,1820.32800,1820.32895,35.55083,35.91990,35.82311,26.45302,52.63805,3.43418,31.18896,40.09891,23.18907,37.01806,31.50511,30.50089,46.03410,22.30597,41.89801
1714.40005,785.24208,759.57108,1714.08010,1773.13805,1773.13900,1712.00204,1771.09909,1771.10004,1711.66301,809.92508,810.86707,1700.14811,1759.19700,1759.19795,35.58087,35.95686,35.90608,26.49188,52.65903,3.44896,31.23593,40.16089,24.55616,37.28795,31.51512,30.80583,46.16284,22.74203,41.95786
1647.06516,717.91101,692.24095,1646.87705,1705.93619,1705.93500,1644.70792,1703.80497,1703.80783,1644.45305,742.71297,743.65187,1633.02779,1692.07692,1692.07692,35.60996,35.99215,36.18503,26.52979,52.69098,3.48401,31.27193,40.35306,24.60217,37.53591,31.52394,31.13317,47.23692,22.77422,42.03796
1521.72184,592.56983,566.90288,1521.04187,1580.10006,1580.09887,1519.59300,1578.69101,1578.69291,1519.43398,617.69104,618.62707,1507.70688,1566.75696,1566.75792,35.64191,36.02290,36.21411,26.71504,52.72102,3.50308,31.30913,40.38596,24.64008,38.92708,31.53300,31.44217,47.27101,22.80903,44.37709
1433.47692,504.32801,478.66392,1433.04896,1492.10501,1492.10501,1431.53119,1490.63015,1490.63206,1431.46896,529.72603,530.65991,1419.54708,1478.59907,1478.59812,39.05797,36.06009,37.49394,26.75796,52.74200,3.75795,31.34203,40.71903,24.66106,39.27088,31.51798,31.65412,47.30201,23.02313,45.05014
1389.23812,460.09207,434.43012,1388.99589,1448.04692,1448.04692,1387.46190,1446.56205,1446.56301,1387.45189,485.70895,486.63807,1375.44608,1434.49807,1434.49807,39.14189,36.09014,37.53901,26.89815,52.81806,3.77703,31.38494,40.90118,24.69087,39.33001,31.50797,31.86584,47.33109,23.05818,45.26591
1318.33887,389.19687,363.53493,1318.10522,1377.15411,1377.15411,1316.46609,1375.56720,1375.57006,1316.55812,414.81113,415.73906,1304.16584,1363.21878,1363.21998,39.24298,36.11898,37.57787,27.01712,52.87814,3.79515,31.41403,41.15820,24.92619,39.67810,31.49199,32.07207,47.35994,23.08893,45.49909
1183.20203,254.06194,228.40309,1183.06994,1242.11693,1242.11693,1181.21195,1307.63388,1306.03981,1181.64182,279.89292,280.81989,5453.46904,4381.04796,3326.15209,39.35003,42.29403,37.77099,27.84109,68.89415,3.81494,31.43597,20.31398,24.95813,38.33795,31.48103,38.76090,21.83819,23.31901,34.89113
1139.05001,209.91302,184.25703,1138.75794,1197.80302,1197.80493,1137.09998,1263.52811,1261.93500,1137.64691,235.89492,236.82189,5409.14106,4336.72500,3281.82912,43.24389,42.69814,38.69390,27.92692,68.99500,4.05788,31.46386,20.38193,24.97196,38.63502,31.46887,39.03580,21.89708,23.36097,34.91998
1026.63589,97.50199,71.84792,1026.34883,1085.39104,1085.39295,1025.05088,1151.48091,1149.88780,1025.67410,123.91901,124.84694,5296.87500,4224.46394,3169.56711,44.18492,42.96613,38.95712,28.00798,69.09204,4.07386,31.49295,20.41101,24.98698,38.69891,31.45814,39.52193,21.93117,23.50497,34.93500
