# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
38.15007,37.41813,33.77485,349.04003,119.75598,44.66891,120.80908,57.69300
38.38396,38.15484,220.15905,35.35795,183.37011,44.36398,50.21191,228.89090
317.25383,90.79194,1300.90809,3497.72716,23.47398,85.68501,192.65294,86.96198
60.17208,2593.49298,52.54316,1472.74399,45.28499,184.46398,22.51792,87.17918
87.51106,564.32509,57.75595,58.07495,86.03501,76.27797,44.33703,75.87099
136.65700,41.51392,201.32709,593.73498,40.60912,195.23692,433.40492,65.33408
34.88898,34.38711,60.63199,2196.58399,43.78915,47.78910,44.35396,51.02515
35.86507,1032.67503,167.51814,167.36698,351.37701,74.11194,22.94397,73.99893
1119.70901,1027.70209,32.98616,135.23507,183.11787,263.40508,362.60605,76.43318
36.68404,36.00097,133.06212,40.73215,182.47199,112.35905,44.25287,45.67909
32.98807,34.44409,50.24004,49.48902,45.45903,43.71405,44.21496,43.83302
1465.96003,393.89706,261.82294,152.16494,23.90003,43.93005,103.87611,282.31192
37.86206,38.67292,591.22801,4432.62601,182.06596,24.49012,210.23798,248.02899
55.23205,217.89193,35.03704,2340.90686,25.69413,63.75194,222.23806,113.09099
34.48415,960.42109,34.38997,251.56617,504.11606,46.09108,22.74299,113.22904
1018.97287,996.01197,34.98912,36.40199,184.45802,44.65389,65.79304,205.67203
37.12893,183.20894,35.04300,34.99603,44.71803,184.26108,54.88396,206.15697
37.45198,36.98707,33.85901,361.34481,194.11802,45.18509,182.70612,58.71582
68.26806,67.84797,288.51104,143.95094,127.69699,50.49396,364.17198,156.16393
35.97021,4420.94612,287.60600,35.58397,253.90410,45.22300,91.43114,44.57211
38.12599,2350.11101,94.58995,4409.71208,44.62409,68.67790,91.76207,59.07917
179.94308,272.78399,34.59620,2308.16817,68.94898,70.27888,264.92500,59.87811
44.87205,44.08813,208.02116,2316.01906,45.25900,767.71998,45.76111,91.76993
253.95393,254.61888,127.10595,242.17486,46.59510,70.77193,45.40586,92.36312
37.97507,38.14197,32.77707,33.82421,43.16998,357.11408,43.17188,43.85114
34.51586,35.08782,37.20307,35.57611,879.77314,44.18492,47.77098,287.37593
50.17090,36.77988,34.23405,33.81896,382.67398,230.94010,90.49606,153.90897
1351.84598,366.86397,265.58709,430.25017,69.39006,44.83700,70.57691,183.86197
37.76693,37.76097,411.13400,1805.39417,187.30903,90.07001,209.49483,356.43291
35.86102,36.05509,79.12421,34.64508,44.37399,66.77890,206.53892,43.85185
40.26389,40.75003,34.95002,334.10311,100.55113,100.84200,383.16703,70.86897
39.10398,34.22809,42.65094,43.84995,198.22979,61.50484,140.22589,60.31609
34.56092,996.28592,136.31701,36.52382,44.96098,60.26506,74.41092,272.09687
36.52501,38.77616,377.26188,36.33499,217.14020,314.53609,43.10393,392.62700
37.01806,37.52708,34.91306,34.33108,344.96403,93.82820,45.84408,208.33206
36.04198,34.96885,45.12596,5645.79606,365.48710,144.47212,237.46490,128.26610
801.37300,800.45199,376.27196,3636.50799,71.59495,52.74510,349.73097,106.11796
40.89689,41.15891,114.96592,1629.96602,186.94186,206.15983,45.17388,106.26316
