# p1 - c1 sync,p1 - c4 sync,p2 - c2 sync,p2 - c5 sync,c1 - p1,c2 - p2,c4 - p1,c5 - p2
40.19499,40.17591,48.88105,48.63405,46.51809,52.91605,46.79799,52.77801
38.34319,38.04898,34.89900,35.14004,45.97521,48.37704,45.89701,48.06495
95.83807,95.63589,68.98522,69.13400,97.85509,155.61700,97.89896,155.36094
118.81781,119.03000,41.39900,41.40782,45.80712,45.50719,45.63594,45.57991
33.10108,32.95398,169.17109,168.55907,46.05103,44.08693,46.08297,45.06707
36.22103,35.69603,35.76303,35.45809,45.89391,51.54991,46.30017,51.49698
35.25209,35.51602,37.41813,37.40001,49.21484,44.96002,48.88487,44.74807
35.13002,35.28690,71.53106,72.21198,46.06485,50.59695,46.03195,50.17400
129.50206,129.67896,51.06401,51.01895,45.69983,144.19794,45.58396,144.48619
41.68081,42.30285,34.00898,33.82301,45.40110,45.45283,44.49582,45.50505
53.26200,53.41697,130.41997,129.87208,47.13917,45.80212,46.95606,46.03219
36.99923,37.61911,36.93509,36.73291,45.41397,45.11309,44.75093,45.36510
34.43193,33.99396,58.99501,58.79807,46.90504,45.91298,47.26911,46.13709
44.02399,44.66414,83.16898,82.83901,53.87402,49.79515,53.26605,50.00401
47.92905,48.17200,50.96102,50.70210,46.80800,194.82923,46.65613,195.10221
68.97688,69.41080,68.48311,68.93516,53.32303,42.73915,52.71602,42.29116
34.41095,34.43789,41.24212,41.23402,68.52889,45.11213,68.74108,45.05587
54.90208,55.12810,121.48404,121.23394,44.92116,44.19994,44.54017,44.38710
123.40689,123.44599,74.96691,74.98407,43.30897,45.44997,43.31088,45.87007
44.04902,43.66899,33.86497,33.90098,46.67306,46.77320,46.68999,46.72885
52.41394,52.85406,36.93914,36.59296,47.60194,46.16499,47.30916,46.46802
34.31916,34.31416,37.84609,37.78696,45.70985,44.65795,45.67409,44.87109
38.93209,39.07990,52.66404,52.59299,44.74282,51.87392,44.80481,52.14190
35.20107,37.58502,41.46910,41.49508,44.66009,46.71097,42.95993,46.74697
32.79305,33.34594,34.43885,34.48582,75.55699,96.07601,74.66102,95.88194
85.56199,84.99908,44.03806,38.48600,45.05515,45.27092,45.42708,51.07713
51.50700,51.09906,88.76896,88.56702,46.63992,45.81404,46.84806,46.08917
35.04181,35.07900,47.75786,47.93382,45.89391,42.32216,45.77494,42.59109
37.08386,36.91602,42.41800,42.34600,46.06104,45.79186,45.90988,45.49909
48.59614,48.36512,40.36808,40.36999,43.70093,48.31290,44.03806,48.61808
37.51397,37.57691,34.27696,34.31582,71.76518,47.16921,71.70606,47.24097
42.47594,42.59300,34.79791,34.68180,52.01197,59.84092,51.83101,59.90982
141.31308,141.27707,62.58011,62.04605,46.22722,45.37892,46.05007,45.82715
51.39899,51.51892,35.74800,35.56395,209.08594,46.87095,209.31196,46.73982
42.61804,42.76919,36.61990,34.97291,44.98601,51.67413,44.65413,53.23482
38.70296,38.80095,34.96504,34.23309,45.47906,44.82508,45.40610,45.16912
44.01493,44.82388,61.84411,61.54203,44.20114,44.70110,43.41507,45.04299
47.47701,47.59502,43.06507,42.98115,45.69292,85.37602,45.55106,85.33502
41.75401,41.99505,35.85887,35.26783,47.38307,45.60399,47.23310,46.02194
40.56692,40.52901,43.49303,43.33997,46.12899,46.95082,46.79894,47.56188
43.74003,43.70499,35.41303,35.34102,44.79194,46.57984,44.88397,46.47303
36.37600,36.31496,34.47008,34.41501,44.54517,43.89286,44.78192,44.11697
36.13997,35.72702,37.48202,37.45985,45.65215,45.08114,46.08488,44.88301
37.77409,37.73499,37.89783,36.72600,45.51196,55.08995,44.98100,55.82213
34.33299,34.73902,35.31599,35.43806,46.06104,46.16213,45.78304,46.28587
